id_municipio,ano,idhm,idhm_e,idhm_l,idhm_r
2108058,1991,0.201,0.045,0.489,0.368
2108108,1991,0.241,0.067,0.462,0.451
2108207,1991,0.39,0.211,0.568,0.496
2108256,1991,0.212,0.049,0.537,0.362
2108306,1991,0.277,0.109,0.501,0.388
2108405,1991,0.312,0.139,0.536,0.409
2108454,1991,0.238,0.068,0.509,0.389
2108504,1991,0.339,0.175,0.511,0.435
2108603,1991,0.346,0.18,0.537,0.429
2108702,1991,0.247,0.075,0.499,0.403
2108801,1991,0.286,0.117,0.559,0.357
2108900,1991,0.265,0.088,0.545,0.386
2109007,1991,0.34,0.126,0.636,0.492
2109056,1991,0.308,0.133,0.504,0.436
2109106,1991,0.373,0.193,0.57,0.473
